category,id,name,en,prompt,image_path,is_featured
"建筑",cat1_item1,"古典建筑","Classical Architecture","Classical Architecture","/images/themes/architecture/古典建筑_Classical Architecture.png",true
"建筑",cat1_item2,"哥特建筑","Gothic Architecture","Gothic Architecture","/images/themes/architecture/哥特建筑_Gothic Architecture.png",true
"建筑",cat1_item3,"文艺复兴建筑","Renaissance Architecture","Renaissance Architecture","/images/themes/architecture/文艺复兴建筑_Renaissance Architecture.png",true
"建筑",cat1_item4,"巴洛克建筑","Baroque Architecture","Baroque Architecture","/images/themes/architecture/巴洛克建筑_Baroque Architecture.png",true
"建筑",cat1_item5,"洛可可建筑","Rococo Architecture","Rococo Architecture","/images/themes/architecture/洛可可建筑_Rococo Architecture.png",
"建筑",cat1_item6,"现代主义","Modernism","Modernism","/images/themes/architecture/现代主义_Modernism.png",
"建筑",cat1_item7,"粗野主义","Brutalism","Brutalism","/images/themes/architecture/粗野主义_Brutalism.png",
"建筑",cat1_item8,"后现代","Postmodern","Postmodern","/images/themes/architecture/后现代_Postmodern.png",
"建筑",cat1_item9,"参数化","Parametric","Parametric","/images/themes/architecture/参数化_Parametric.png",
"建筑",cat1_item10,"中式传统","Traditional Chinese Architecture","Traditional Chinese Architecture","/images/themes/architecture/中式传统_Traditional Chinese Architecture.png",
"建筑",cat1_item11,"日式枯山水","Japanese Zen Garden","Japanese Zen Garden","/images/themes/architecture/日式枯山水_Japanese Zen Garden.png",
"建筑",cat1_item12,"包豪斯建筑","Bauhaus Architecture","Bauhaus Architecture","/images/themes/architecture/包豪斯建筑_Bauhaus Architecture.png",
"建筑",cat1_item13,"国际主义","International Style","International Style","/images/themes/architecture/国际主义_International Style.png",
"建筑",cat1_item14,"高技派","High-Tech Architecture","High-Tech Architecture","/images/themes/architecture/高技派_High-Tech Architecture.png",
"建筑",cat1_item15,"解构主义","Deconstructivism","Deconstructivism","/images/themes/architecture/解构主义_Deconstructivism.png",
"建筑",cat1_item16,"有机建筑","Organic Architecture","Organic Architecture","/images/themes/architecture/有机建筑_Organic Architecture.png",
"建筑",cat1_item17,"未来主义建筑","Futurist Architecture","Futurist Architecture","/images/themes/architecture/未来主义建筑_Futurist Architecture.png",
"建筑",cat1_item18,"生态建筑","Sustainable Architecture","Sustainable Architecture","/images/themes/architecture/生态建筑_Sustainable Architecture.png",
"建筑",cat1_item19,"极简住宅","Minimalist House","Minimalist House","/images/themes/architecture/极简住宅_Minimalist House.png",
"建筑",cat1_item20,"玻璃幕墙","Glass Curtain Wall","Glass Curtain Wall","/images/themes/architecture/玻璃幕墙_Glass Curtain Wall.png",
"建筑",cat1_item21,"混凝土美学","Concrete Aesthetic","Concrete Aesthetic","/images/themes/architecture/混凝土美学_Concrete Aesthetic.png",
"建筑",cat1_item22,"城市天际线","City Skyline","City Skyline","/images/themes/architecture/城市天际线_City Skyline.png",
"建筑",cat1_item23,"概念建筑","Conceptual Architecture","Conceptual Architecture","/images/themes/architecture/概念建筑_Conceptual Architecture.png",
"建筑",cat1_item24,"科幻建筑","Sci-fi Architecture","Sci-fi Architecture","/images/themes/architecture/科幻建筑_Sci-fi Architecture.png",
"建筑",cat1_item25,"废墟美学","Ruins Aesthetic","Ruins Aesthetic","/images/themes/architecture/废墟美学_Ruins Aesthetic.png",
"建筑",cat1_item26,"地下建筑","Underground Structure","Underground Structure","/images/themes/architecture/地下建筑_Underground Structure.png",
"建筑",cat1_item27,"空中花园","Sky Garden","Sky Garden","/images/themes/architecture/空中花园_Sky Garden.png",
"建筑",cat1_item28,"模块化建筑","Modular Architecture","Modular Architecture","/images/themes/architecture/模块化建筑_Modular Architecture.png",
"建筑",cat1_item29,"未来城市","Future City","Future City","/images/themes/architecture/未来城市_Future City.png",
