project_id,category,name,prompt,image
proj_1,"角色设计","恶魔猎手角色","Gothic demon hunter character with dark corrupted armor, glowing red eyes, standing in hellfire background, dramatic cinematic lighting, epic dark fantasy style, highly detailed, concept art","/images/projects/10001.png"
proj_1,"角色设计","角色设计 Asset","A fierce demon hunter warrior in dark gothic armor, crimson blood magic swirling around gauntlets, obsidian steel plates with glowing runes, tattered crimson cape billowing, menacing horned helmet, standing in hellfire ruins, dramatic lighting, ultra detailed 8k, dark fantasy art style","/images/projects/10002.png"
proj_1,"角色设计","角色设计 Asset","Fallen angel necromancer with skeletal armor, pale ghostly skin, glowing green eyes, dark tattered robes with bone ornaments, staff topped with skull gem, summoning undead minions, misty graveyard background, Diablo art style, cinematic lighting","/images/projects/10003.png"
proj_1,"场景设计","地狱熔岩洞穴","Dark hellish cavern with rivers of lava, demonic architecture, skulls and bones scattered, ominous red glow, dramatic shadows, epic dark fantasy environment, concept art","/images/projects/10004.png"
proj_1,"场景设计","场景设计 Asset","Hellish cathedral ruins consumed by flames, towering demon statues crumbling, rivers of molten lava flowing through gothic arches, crimson sky with burning meteors, skeletal pillars reaching skyward, dark oppressive atmosphere, volumetric fog, Diablo game environment, 8k ultra detailed","/images/projects/10005.png"
proj_1,"场景设计","场景设计 Asset","Dark catacombs with ancient stone corridors, flickering torch light casting eerie shadows, demonic runes glowing on walls, pools of blood reflecting candlelight, scattered bones and skulls, cobwebs in corners, oppressive claustrophobic atmosphere, dungeon crawler aesthetic","/images/projects/10006.png"
proj_1,"半身像","半身像 Asset","Portrait of a battle-scarred barbarian warrior, intense glowing red eyes, dark face paint tribal markings, heavy brow furrowed in rage, wild unkempt hair, obsidian armor shoulder plates, dramatic side lighting, gritty realistic style, Diablo character portrait","/images/projects/10007.png"
proj_1,"NPC生成","NPC生成 Asset","Mysterious hooded merchant in dark tattered robes, wrinkled weathered face partially obscured by shadow, glowing amber eyes, wooden cart full of ancient artifacts and potions, standing in dimly lit medieval market, cinematic lighting, RPG NPC style","/images/projects/10008.png"
proj_1,"坐骑","坐骑 Asset","Demonic warhorse with flaming mane and tail, glowing red eyes, obsidian black armor plating with spikes, smoke billowing from nostrils, standing in hellfire landscape, dramatic heroic pose, dark fantasy creature design, ultra detailed","/images/projects/10009.png"
proj_1,"怪兽","堕落恶魔","Corrupted demon creature, multiple horns, glowing red veins, torn wings, standing in flames, menacing pose, dark fantasy monster design, highly detailed","/images/projects/10010.png"
proj_1,"怪兽","怪兽 Asset","Towering demon lord with massive curved horns, crimson scaled skin, glowing magma veins across body, wings of tattered flesh, wielding flaming greatsword, standing in hell throne room, intimidating boss design, Diablo monster art, epic scale","/images/projects/10011.png"
proj_1,"怪兽","怪兽 Asset","Grotesque flesh golem stitched from corpses, multiple twisted limbs, exposed bone and muscle, glowing green pustules, lurching forward menacingly, dark dungeon background, horror creature design, detailed gore textures","/images/projects/10012.png"
proj_1,"美宣","美宣 Asset","Epic promotional poster with demon hunter silhouette facing massive horned demon, hellfire cathedral ruins background, dramatic red and black color scheme, volumetric god rays, floating embers, Diablo logo style, cinematic composition, 4k game poster art","/images/projects/10013.png"
proj_2,"角色设计","角色设计 Asset","Traditional Chinese immortal warrior in flowing white robes with cloud patterns, long black hair in topknot, wielding ornate jade sword, standing on mountain cliff, cherry blossoms floating, classic Chinese MMORPG art style, elegant and mystical","/images/projects/20001.png"
proj_2,"角色设计","角色设计 Asset","Beautiful female fox spirit in red and gold hanfu dress, nine fluffy tails visible, delicate fox ears, holding paper fan, surrounded by mystical pink petals, Chinese fantasy character design, romantic aesthetic","/images/projects/20002.png"
proj_2,"场景设计","场景设计 Asset","Ancient Chinese Chang'an city with grand palace buildings, red pillars and golden roofs, bustling streets with merchants and NPCs, traditional architecture, lanterns hanging, warm sunset lighting, Chinese MMORPG environment, historical aesthetic","/images/projects/20003.png"
proj_2,"场景设计","场景设计 Asset","Mystical peach blossom forest with twisted ancient trees, pink petals falling like snow, stone path winding through, hidden temple in distance, magical atmosphere, Chinese fantasy landscape, soft dreamy lighting","/images/projects/20004.png"
proj_2,"半身像","半身像 Asset","Portrait of handsome male immortal with refined features, long black hair flowing, jade crown and earrings, white robes with gold embroidery, gentle expression, Chinese MMORPG character portrait, soft lighting","/images/projects/20005.png"
proj_2,"立绘","立绘 Asset","Full body character illustration of monk in Buddhist robes holding staff, calm wise expression, prayer beads, standing pose, traditional Chinese art style, clean background, game character stand art","/images/projects/20006.png"
