key,zh,en
gallery.submodules.new-china-painter.title,新国画人,New China Painter
gallery.submodules.new-china-painter.desc,传统笔墨与现代构成的碰撞。,The collision of traditional ink and modern composition.
gallery.submodules.mixed-media.title,综合材料,Mixed Media
gallery.submodules.mixed-media.desc,探索不同材质的肌理与情感。,Exploring the texture and emotion of different materials.
gallery.submodules.illustration-story.title,插画故事,Illustration Story
gallery.submodules.illustration-story.desc,用画面讲述连贯的叙事。,Telling coherent narratives through images.
gallery.submodules.stylized-board.title,风格化板绘,Stylized Board
gallery.submodules.stylized-board.desc,数字绘画的风格探索。,Style exploration in digital painting.
gallery.submodules.product.title,产品摄影,Product Photography
gallery.submodules.product.desc,光影下的物体质感。,The texture of objects under light and shadow.
gallery.submodules.landscape.title,风景摄影,Landscape Photography
gallery.submodules.landscape.desc,记录自然与城市的瞬间。,Capturing moments of nature and the city.
gallery.submodules.unknown.title,未知模块,Unknown Module
gallery.submodules.unknown.desc,,
